reviewId,providerId,providerName,type,region,rule,target,status,sourceUrl,evidenceSummary,suggestedDecision,correctedFields
source-fit-capture:gp-raukura-hauora-o-tainui-te-papanui-whare-haumanu-37-7714-175-2931:weak-maori-evidence:maori,gp-raukura-hauora-o-tainui-te-papanui-whare-haumanu-37-7714-175-2931,Raukura Hauora O Tainui - Te Papanui Whare Haumanu,gp,Waikato,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-raukura-hauora-o-tainui-te-rengarenga-37-7955-175-2457:weak-maori-evidence:maori,gp-raukura-hauora-o-tainui-te-rengarenga-37-7955-175-2457,Raukura Hauora O Tainui - Te Rengarenga,gp,Waikato,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-raukura-hauora-o-tainui-waahi-37-5583-175-1537:weak-maori-evidence:maori,gp-raukura-hauora-o-tainui-waahi-37-5583-175-1537,Raukura Hauora O Tainui - Waahi,gp,Waikato,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-salvation-army-hauora-service-36-9115-174-7725:weak-maori-evidence:maori,gp-salvation-army-hauora-service-36-9115-174-7725,Salvation Army Hauora Service,gp,Auckland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-t-tonu-hauora-37-7915-175-2828:weak-maori-evidence:maori,gp-t-tonu-hauora-37-7915-175-2828,Tū Tonu Hauora,gp,Waikato,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-tara-wh-nau-medical-centre-36-9582-174-8745:weak-maori-evidence:maori,gp-tara-wh-nau-medical-centre-36-9582-174-8745,Ōtara Whānau Medical Centre,gp,Auckland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-te-ara-tu-o-ng-ti-hine-35-3861-174-0698:weak-maori-evidence:maori,gp-te-ara-tu-o-ng-ti-hine-35-3861-174-0698,Te Ara Tu o Ngāti Hine,gp,Northland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-te-ara-tu-o-ng-ti-hine-35-3882-174-0126:weak-maori-evidence:maori,gp-te-ara-tu-o-ng-ti-hine-35-3882-174-0126,Te Ara Tu o Ngāti Hine,gp,Northland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-te-ara-tu-o-ng-ti-hine-35-7273-174-3173:weak-maori-evidence:maori,gp-te-ara-tu-o-ng-ti-hine-35-7273-174-3173,Te Ara Tu o Ngāti Hine,gp,Northland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-te-korowai-hauora-o-hauraki-paeroa-37-3817-175-6707:weak-maori-evidence:maori,gp-te-korowai-hauora-o-hauraki-paeroa-37-3817-175-6707,Te Korowai Hauora o Hauraki - Paeroa,gp,Bay of Plenty,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-te-manu-toroa-te-akau-hauora-37-6935-176-2655:weak-maori-evidence:maori,gp-te-manu-toroa-te-akau-hauora-37-6935-176-2655,Te Manu Toroa (Te Akau Hauora),gp,Bay of Plenty,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
source-fit-capture:gp-te-puna-hauora-o-te-raki-paewhenua-health-social-services-36-7950-174-7560:weak-maori-evidence:maori,gp-te-puna-hauora-o-te-raki-paewhenua-health-social-services-36-7950-174-7560,Te Puna Hauora o te Raki Paewhenua - Health & Social Services,gp,Auckland,weak-maori-evidence,maori,needs_human_browser_review,https://doctorpricer.co.nz/,,needs_more_info,{}
